Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Brunel,3.7,Duisburg,Data Engineer / Data Analyst (w/m/d),"Sie sind IT Experte und wollen sich ständig weiterentwickeln? Die zentralen IT Systeme sind Ihre Leidenschaft? Dann sind Sie gerade auf die richtige Position gestoßen; denn wir suchen engagierte IT Analysten, die bei unserem Kunden, einem international aufgestellten Unternehmen, langfristig spannende Projekte realisieren.
Dann bewerben Sie sich als Data Engineer und leisten einen entscheidenden Beitrag auf dem Weg der Digitalisierung!



Ihre Aufgabe
Entwurf, Entwicklung, Optimierung und Pflege einer Squad-spezifischen Datenarchitektur und Pipelines, die definierten ETL- und Data-Lake-Prinzipien entsprechen








Wir bieten Ihnen eine Unternehmenskultur, die geprägt ist von der Vielfältigkeit unserer Mitarbeiter sowie von gegenseitiger Wertschätzung – zwischen den Mitarbeitern und auf allen Unternehmensebenen. Dazu gehören neben abwechslungsreichen Stammtischen mit den lokalen Brunel Teams, auch regelmäßige Feedback-Gespräche über Ihre Herausforderungen und Perspektiven mit Ihrem Account Manager. Mit individuellen Fortbildungen und Trainings werden Sie optimal gefördert und auf zukünftige Projekte vorbereitet. Unbefristete Arbeitsverträge; 30 Tage Urlaub, Arbeitskontenregelung sowie betriebliche, arbeitgeberfinanzierte Altersvorsorge sind bei uns selbstverständlich.

Sonstige",,9d,False,10000+,Company - Public,Human Resources & Staffing,1975,Staffing & Subcontracting,$1 to $5 billion,0.63,0.85,3.2,3.3,3.4,3.3,3.5,"['""Benefits are good."" (in 21 reviews)', '""Pay is good ."" (in 37 reviews)', '""Great People."" (in 28 reviews)', '""Great senior management, Good culture"" (in 28 reviews)', '""I received amazing training since the day I joined until my very last day, and management made sure I had all the tools necessary to be successful in my role."" (in 24 reviews)']","['""no benefits (except Multisport card)"" (in 21 reviews)', '""Haustarifvertrag zur Umgehung von Equal Pay."" (in 37 reviews)', '""small rest of the team, unhappy atmosphere, no culture or interest of mngmt about people (internal and external)"" (in 28 reviews)', '""No trainings except for german language"" (in 24 reviews)']",3.8,"['Health Insurance (3 comments)\n""very good health insurance there""']"
Siemens AG,4.7,Munich,"(Senior) Consultant in Advanced Analytics & Artificial Intelligence (f/m/d), Munich/hybrid","Job ID: 336468
Location: Munich/hybrid
Organization: Siemens Advanta Consulting
Type of employment: Permanent/full-time
(Senior) Consultant in Advanced Analytics & Artificial Intelligence (f/m/d), Munich/hybrid
About Siemens Advanta Consulting
Siemens Advanta Consulting is the global management consultancy of one of the world’s most innovative engineering and technology companies. We navigate companies through their unique digitalization journey – from strategy to operations. Our mission is to transform our clients’ future and develop the talent of today into the business leaders and experts of tomorrow.",,30d+,False,51 to 200,Company - Private,Information Technology,2015,Computer Hardware Development,$1 to $5 million,0.92,1.0,4.4,4.3,4.6,4.5,4.4,"['""Culture is fantastic."" (in 2 reviews)', '""The engineering team is closely"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],4.0,
Deloitte Consulting GmbH,4.0,Germany,Senior Solution Engineer Cloud Data (m/w/d),"Du machst den Unterschied. Ob im Business Audit & Assurance, Risk Advisory, Tax & Legal, Financial Advisory oder Consulting: Wir bei Deloitte unterstützen unsere weltweiten Mandanten dabei, sich kontinuierlich weiterzuentwickeln. Entdecke ein vielfältiges Arbeitsumfeld, das ständig in Bewegung ist und immer um ein Zentrum kreist: dich und dein Know-how. What impact will you make?
Du willst im Bereich Consulting – Artificial Intelligence and Data helfen, aus Daten Sinn zu stiften? Unser Team am Business & Technology Center Leipzig bietet dir dafür die perfekten Voraussetzungen: in einem spannenden Arbeitsumfeld mit echter Start-up-Atmosphäre, individuellen Entwicklungsmöglichkeiten und idealen Bedingungen für deine Karriere. Sichere unseren gemeinsamen Erfolg und mach mit uns den Unterschied: als Senior Solution Engineer Cloud Data (m/w/d).
Standort: Leipzig.",,5d,False,10000+,Company - Private,Financial Services,1850,Accounting & Tax,$10+ billion,0.81,0.93,4.3,3.8,4.0,3.8,3.3,"['""A good work life balance when you compare with other consulting firms and better exposure too"" (in 15214 reviews)', '""Good salary for first job and the onboarding process is good (plus certifications)"" (in 9995 reviews)', '""The people are great and the energy isn\'t what you\'d traditionally find in other opportunities."" (in 7921 reviews)', '""good culture is there here and we can have a chance to work with well knowledge professionals"" (in 8914 reviews)', '""Get good benefits and Good for fresher"" (in 4295 reviews)']","['""No work/life balance and not easy to grow if you are not willing to work crazy hours"" (in 15214 reviews)', '""The amount of hours put into this job and the low salary that goes with it"" (in 9995 reviews)', '""Hours not oa good and people willing to do it."" (in 7921 reviews)', '""Culture is toxic (South Africa member firm) and not people centric despite it priding itself as such."" (in 8914 reviews)', '""No benefits and many hours of unpaid work."" (in 4295 reviews)']",4.2,"['Health Insurance (764 comments)\n""But it is very expensive""', 'Vacation & Paid Time Off (636 comments)\n""Very flexible with holiday request""', '401K Plan (422 comments)\n""They don\'t do a match up to a %""']"
TMS Trademarketing Service GmbH,3.1,Munich,Data Engineer (m/w/d),"Frankfurt am Main | Vollzeit | Berufserfahren
Data Engineer (m/w/d)
Jobsicherheit
Unbefristeter Arbeitsvertrag
Stetig wachsendes Unternehmen mit 70 Mio. Jahresumsatz
Work-Life-Balance
Remote Work mit 2-3 Tagen Hybrid-Modell möglich und flexiblen Arbeitszeiten
Modernste und innovativste Hardware Ausstattung steht dir zur Verfügung",,30d+,True,51 to 200,Company - Private,,,,$25 to $100 million,0.42,0.8,2.7,2.4,2.7,2.7,2.6,"['""Junges buntes Team das wars aber auch wieder mit den pros"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Exyte GmbH,3.6,Stuttgart,SAP S/4 Hana Solution Architect (m/f/d),"Your vision is ambitious. Just like ours.
Our people are our success. As one of us, you will contribute to engineering excellence for the high-tech markets of the future, including semiconductors, batteries, pharmaceuticals, biotechnology, and data centers. At Exyte, you will be part of a global community of challenge seekers who are ambitious and passionate about innovation. Together, we will build on our company’s long history and keep on leading the way to a better world.
Discover your exciting role
The Solutions architect proactively and holistically leads and supports EA activities that guide the development and management of a portfolio of SAP S4 solutions. SAP S4 Solutions include systems (applications, processes, information and technology), shared infrastructure services, and shared application services and components to enable and drive targeted business outcomes",,30d+,False,1001 to 5000,Company - Private,"Construction, Repair & Maintenance Services",1912,Construction,,0.64,0.8,3.5,3.7,3.3,3.0,3.3,"['""Good benefits"" (in 8 reviews)', '""Management is good and helpful."" (in 5 reviews)', '""Good team support"" (in 4 reviews)']","['""Benefits and HR policy are not attractive"" (in 8 reviews)', '""1. Management is not engineer"" (in 5 reviews)', '""Long hours, lots of pressure"" (in 10 reviews)', '""Terrible culture, continuous organisational restructuring, high staff turnover."" (in 9 reviews)']",3.0,
dmTECH GmbH,4.3,Germany,"Informatiker - Data Engineering, Business Intelligence (m/w/d)","Für dmTECH, die IT-Tochter von dm-drogerie markt, suchen wir für bundesweit einen:
BI Data Engineer (w/m/d)
Im dm-Konzern sind wir die Technologie-Experten für Business Intelligence. Tausende Anwender aus unseren Filialen, der Zentrale und unseren Industriepartnern führen täglich bis zu 60.000 Analysen auf unserem Enterprise Data Warehouse aus. Die Befüllung des Data Warehouse mit mehr als 500 Schnittstellen aus den Quellsystemen gehört zu unseren Aufgaben. Die Geschwindigkeit sowie die Menge, Komplexität und Vielfalt der Daten begleiten uns tagtäglich und machen unsere Aufgaben spannend.

Du wohnst nicht in der Region Karlsruhe? Kein Problem! Bei Interesse ist es möglich, fast vollständig remote zu arbeiten.DEINE AUFGABEN
Vollzeit, unbefristet, ab sofort",,27d,False,,Company - Public,,,,,1.0,,3.6,3.7,4.9,4.1,4.6,"['""life balance, pleasant working atmosphere, friendly colleagues, great room for creativity, good support from supervisor, close cooperation with the team, great atmosphere for learning and improvement."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Deloitte Consulting Solutions GmbH,4.0,Leipzig,(Senior) Solution Engineer (m/w/d) SAP Data Migration - Technology Center,"Du machst den Unterschied. Ob im Business Audit & Assurance, Risk Advisory, Tax & Legal, Financial Advisory oder Consulting: Wir bei Deloitte unterstützen unsere weltweiten Mandanten dabei, sich kontinuierlich weiterzuentwickeln. Entdecke ein vielfältiges Arbeitsumfeld, das ständig in Bewegung ist und immer um ein Zentrum kreist: dich und dein Know-how. What impact will you make?
Im SAP Offering von Deloitte begleiten wir internationale Kunden bei der Planung und Umsetzung ihrer SAP Transformationen und haben uns mit einer einzigartigen Kombination von fundiertem Business-, Prozess- und IT-Knowhow dabei eine von SAP anerkannte, marktführende Position für anspruchsvolle SAP S/4HANA und SAP Analytics Projekte erarbeitet. Mit Hilfe zahlreicher Methoden und Tools unterstützen unsere breit aufgestellten, multidisziplinären Teams die Kunden in Fachbereichen und IT bereits ab der frühen Konzeptionsphase bis hin zur Implementierung, dem Roll-Out und dem Betrieb der SAP-Lösung.",,28d,False,10000+,Company - Private,Financial Services,1850,Accounting & Tax,$10+ billion,0.81,0.93,4.3,3.8,4.0,3.8,3.3,"['""A good work life balance when you compare with other consulting firms and better exposure too"" (in 15214 reviews)', '""Good salary for first job and the onboarding process is good (plus certifications)"" (in 9995 reviews)', '""The people are great and the energy isn\'t what you\'d traditionally find in other opportunities."" (in 7921 reviews)', '""good culture is there here and we can have a chance to work with well knowledge professionals"" (in 8914 reviews)', '""Get good benefits and Good for fresher"" (in 4295 reviews)']","['""No work/life balance and not easy to grow if you are not willing to work crazy hours"" (in 15214 reviews)', '""The amount of hours put into this job and the low salary that goes with it"" (in 9995 reviews)', '""Hours not oa good and people willing to do it."" (in 7921 reviews)', '""Culture is toxic (South Africa member firm) and not people centric despite it priding itself as such."" (in 8914 reviews)', '""No benefits and many hours of unpaid work."" (in 4295 reviews)']",4.2,"['Health Insurance (764 comments)\n""But it is very expensive""', 'Vacation & Paid Time Off (636 comments)\n""Very flexible with holiday request""', '401K Plan (422 comments)\n""They don\'t do a match up to a %""']"
WIBU-SYSTEMS AG,5.0,Karlsruhe,Cloud System Engineer - Containerisierung / DevOps / Kubernetes / Ubuntu (m/w/d),"Über WIBU-SYSTEMS AG:
Wir sind ein innovativer Technologieführer auf dem globalen Markt für Softwareschutz und -lizenzierung. Das 1989 gegründete Unternehmen hat sich zum Ziel gesetzt, ein Höchstmaß an Schutz, Lizenzierung und Sicherheit für digitale Vermögenswerte und geistiges Eigentum in einer zunehmend vernetzten Welt zu bieten. Unsere Lösungen werden weltweit von Softwareherstellern und Herstellern intelligenter Geräte eingesetzt, die ihre Anwendungen für PCs, mobile Geräte, Embedded-Systeme, Steuerungen und Mikrocontroller vertreiben.
Wir beschäftigen mittlerweile weltweit rund 130 Kollegen*innen.
Was erwartet Sie?
Sie entwickeln die Server-Infrastruktur und den Applikationsbetrieb der Full Managed Cloud-Lösungen des Systems unseres Unternehmens, wobei Sie die Schnittstelle zur Entwicklung und zu DevOps der Cloud-Lösung besetzen und Ihre Ideen und Erfahrungen einbringen",,2d,False,51 to 200,Company - Private,Information Technology,,Enterprise Software & Network Solutions,,1.0,1.0,4.0,4.0,5.0,5.0,5.0,,,,
afo solutions ag,,Munich,Junior Data Engineer / Consultant (100%),"Data & Analytics im Marketingumfeld ist die Haupttätigkeit von afo solutions ag. Wir bauen für unsere Kunden Datenplattformen in der Cloud und integrieren Analytics und die Anbindung an Marketing-Tools. Für unseren Standort in der Schweiz suchen wir zur Ergänzung unseres Data-Teams Dich in der Position als Junior Data Engineer / Consultant:
Deine Aufgaben sind ...
Entwicklung Deines Know-hows in cloudbasiertem Data & Analytics
Erste Erfahrungen bei Kundenprojekte als Teammitglied sammeln
Mithelfen bei der Weiterentwicklung unserer cloudbasierten Produkte, Systeme und Methoden",,8d,True,,,,,,,,,,,,,,,,,
IONOS SE,3.8,Karlsruhe,Anti-Abuse Software Engineer (m/f/d),"About IONOS SE:
Wir sind Europas führende Plattform für Cloud Services und Hosting-Dienstleistungen. Wir begleiten erfolgreich unsere Kund*innen bei Ihrer Unternehmensentwicklung.

Für unseren Unternehmenserfolg sind über 4000 Mitarbeitende in mehreren Ländern weltweit tätig, um die Anforderungen und Wünsche unserer 8,5 Millionen Kund*innen zu erfüllen.

Wir sind eine Marke der United Internet AG, einem börsennotierten Unternehmen mit rund 10.200 Mitarbeitenden.

Wir fördern die Entwicklung unserer Mitarbeitenden und deren unterschiedliche Talente, Interessen und Sprachen.",,18d,False,5001 to 10000,Company - Public,Information Technology,,Internet & Web Services,$1 to $5 billion,0.76,0.7,3.2,3.0,3.4,3.0,3.5,"['""Free Drink, free Fruits, time flexible"" (in 1 reviews)']","['""Not many instructions or chance of development"" (in 1 reviews)']",,
