Currency,Rate
AUD,1.4749932169666276
BGN,1.7688342226643756
BRL,4.920864610653885
CAD,1.3317355521389165
CHF,0.8887582526906034
CNY,6.851858551144073
CZK,21.109704259744962
DKK,6.738717554490369
GBP,0.7998552952880529
HKD,7.849959301799766
HUF,337.9578547526454
IDR,14734.367369087458
ILS,3.6561454282355075
INR,81.72153386994664
ISK,135.3893461155829
JPY,132.58569232160622
KRW,1300.9224925386634
MXN,18.051731934521122
MYR,4.402007777878268
NOK,10.312019535136113
NZD,1.5906665460794067
PHP,55.27900877272317
PLN,4.199602062042146
RON,4.46983811160351
SEK,10.260920683729765
SGD,1.3263091254408972
THB,34.05987157456815
TRY,19.373971239938502
USD,1.0
ZAR,18.02948358505924
