Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Experis,4.2,St. Gall,FPGA Design Engineer,"FPGA Desing Engineer (100%)
Location: St. Gallen
Job Responsibilities:
Develop complex and unique FPGA designs for a surveying instrument, including concept, architecture, implementation, verification, validation, and HW commissioning
Implement and enhance sensor control and algorithms, including interfacing (ADC, JESD204B, PCIe, MIPI CSI-2) and integration of company-specific IP blocks for sensor signal processing
Maintain and improve existing and diverse FPGA designs, along with associated verification and test environments",,24d,False,10000+,Subsidiary or Business Segment,Human Resources & Staffing,1948,HR Consulting,$10+ billion,0.86,,4.0,3.8,4.1,4.0,4.1,"['""The pay was good for now"" (in 37 reviews)', '""Good management"" (in 8 reviews)', '""work life balance and good culture"" (in 13 reviews)', '""Staff is friendly, and very helpful."" (in 10 reviews)', '""Efficiency, communication, reliable and positive attitude."" (in 6 reviews)']","['""Less pay according to the work"" (in 37 reviews)', '""Very good company and management"" (in 8 reviews)']",3.0,"['Job Training (88 comments)\n""For now,they are very professionals.""', 'Health Insurance (58 comments)\n""Very good help insurance and grate benefits""', 'Paid Holidays (29 comments)\n""Amazing so many days love it ""']"
Experis,4.2,Zürich,Senior Business Analyst for Process Testing,"Senior Business Process Testing Analyst
Experis is the global leader in professional resourcing and project-based workforce solutions.
Overview of contract
On behalf of our client, an IT Consultancy company in Zürich, we are looking for a Senior Business Process Testing Analyst.
Location: Zürich
Start date: ASAP",,3d,False,10000+,Subsidiary or Business Segment,Human Resources & Staffing,1948,HR Consulting,$10+ billion,0.86,,4.0,3.8,4.1,4.0,4.1,"['""Good salary"" (in 14 reviews)', '""Good people to work with in general."" (in 15 reviews)', '""Benefits matched the industry and pay is fair."" (in 7 reviews)', '""Wonderful environment good management nice co worker"" (in 6 reviews)']","['""Long hours but other then that great company"" (in 13 reviews)', '""Low salary"" (in 14 reviews)', '""bad salary and bad benefits"" (in 7 reviews)', '""Management constantly changing and roles reversing"" (in 6 reviews)']",3.0,"['Job Training (88 comments)\n""For now,they are very professionals.""', 'Health Insurance (58 comments)\n""Very good help insurance and grate benefits""', 'Paid Holidays (29 comments)\n""Amazing so many days love it ""']"
KA Resources,5.0,Zürich,Senior Software Engineer (Python Backend) (m/w/d) - AI & Business Automation,"Für ein international tätiges und unabhängiges Dienstleistungsunternehmen mit über 300 Mitarbeitern an sechs Standorten suchen wir in Zürich zur Verstärkung eines mit Ihnen 5-köpfigen Entwicklungsteams in unbefristeter Festanstellung einen Senior Software Engineer (Python Backend) (m/w/d).
Sie möchten in einer agilen Umgebung arbeiten? Die Chance haben hoch interessante Herausforderungen mit modernsten Technologien zu lösen und Ihre Fähigkeiten zu steigern? Treten Sie einem agilen und hochqualifizierten Engineering-Team bei und kreieren Sie zusammen eine neue SaaS-Plattform für AI, Chatbots und Business Automation.

Senior Software Engineer (Python Backend)",,30d+,True,1 to 50,Company - Private,,,,,1.0,1.0,4.6,5.0,5.0,5.0,5.0,"['""Great incentives for top performers"" (in 1 reviews)', '""Flexible hours"" (in 1 reviews)']","['""Parking is not great around the office"" (in 1 reviews)']",,
ROCKEN,,,Data Engineer für Business Intelligence (m/w/d),"ROCKEN® ist in der digitalen Rekrutierung von Talenten und Experten in der Informatik spezialisiert und zählt etablierte Unternehmungen zu den Partnern.
Diese Partner bieten spannende Tätigkeiten in vielfältigen Branchen.
Profitiere als Bewerber von unserer breiten Vernetzung und lass dir unverbindlich eine Marktübersicht der spannendsten Herausforderungen bieten.
Wir behandeln Deine Bewerbung respektvoll, um Vertraulichkeit, Privatsphäre und Datenschutz zu wahren.
Deine Verantwortung
Erstellung von AdHoc-Analysen sowie Reports





2 - 5 years",,16d,False,1 to 50,Company - Private,,2005,,,,,,,,,,,,,
Experis,4.2,Zürich,Application engineer for SAP S/4 HANA EAM,"Application Engineer SAP 4/HANA Enterprise Asset Management
Candidates from EU who would like to relocate to Switzerland are welcomed
Experis IT is on the search for a Application Engineer SAP 4/HANA to join one of their clients, a well-known international company based in Switzerland. This exciting temporary opportunity is only open to candidates with relevant experience. If you're looking to take your career to the next level, please read on!
Contact: Francesca De Chirico
Start Date: ASAP
Duration: 6 months - possibility of contract extension",,3d,False,10000+,Subsidiary or Business Segment,Human Resources & Staffing,1948,HR Consulting,$10+ billion,0.86,,4.0,3.8,4.1,4.0,4.1,"['""The pay was good for now"" (in 37 reviews)', '""Good management"" (in 8 reviews)', '""work life balance and good culture"" (in 13 reviews)', '""Staff is friendly, and very helpful."" (in 10 reviews)', '""Efficiency, communication, reliable and positive attitude."" (in 6 reviews)']","['""Less pay according to the work"" (in 37 reviews)', '""Very good company and management"" (in 8 reviews)']",3.0,"['Job Training (88 comments)\n""For now,they are very professionals.""', 'Health Insurance (58 comments)\n""Very good help insurance and grate benefits""', 'Paid Holidays (29 comments)\n""Amazing so many days love it ""']"
Line Up Aviation,3.3,Zürich,Electrical System Engineer,"My client is currently developing a new-generation single-turbine helicopter, delivering high performance and offering the largest cabin in its class.
It is looking for:
Role: Electrical System Engineer
Pay: To be defined on the basis of experience
Location: Zurich - Switzerland
Contract: Permanent Full Time
Main Responsibilities",,11d,True,1 to 50,Company - Private,Human Resources & Staffing,,HR Consulting,,0.51,0.29,3.0,3.0,2.7,2.7,3.0,['No Pros have been reported by the Glassdoor community.'],"['""Awful commission scheme"" (in 2 reviews)', '""No real benefits"" (in 1 reviews)', '""No recognition"" (in 1 reviews)']",,
ROCKEN,,,Cloud Architect / Big Data Engineer / Data Scientist (m/w/d),"Unser ROCKEN Partner ist ein Unternehmen, welches sich seit über 20 Jahren die Steigerung der analytischen Kompetenz von Unternehmen und Non-Profit-Organisationen zur Aufgabe gemacht hat.
Deine Verantwortung
Erbringung von Unterstützungsleistungen mit unterschiedlichen Technologien im Rahmen der Beratungsprojekte bei namhaften Kunden aus verschiedenen Branchen – auch bei geringer Reisebereitschaft
Im Team: Planung, Konzeption, Umsetzung und Wartung von Lösungen im Bereich Data & Analytics
Perspektivisch Übernahme von (Teil-) Projektleitungen sowie Durchführung von Schulungen




2 - 5 years",,25d,False,1 to 50,Company - Private,,2005,,,,,,,,,,,,,
noimos AG,,Zürich,Backend Developer (Node.js),"This is what you contribute
Do you want to shape the vision of noimos from a developer's perspective? As Backend Developer you will have a system-wide impact by developing the newest product features and hunting the sneakiest cross-domain issues. Using the latest technology and frameworks, you work with modern methods and create complex web applications to help noimos to revolutionize claims processing.

Your new mission looks like this:",,2d,False,,,,,,,,,,,,,,,,,
ROCKEN,,Zürich,Lead Data Engineer - Zürich (m/w/d),"Unser ROCKEN Partner ist ein unabhängiger Dienstleister mit mehr als 20 Jahren Erfahrung rund um die Themen Immobilien und Hypotheken. Mit einem Volumen von CHF 14 Milliarden verwalteten Immobilien und CHF 12 Milliarden verwalteten Krediten ist dieser Partner der führende Anbieter von unabhängigen, integrierten und technologiebasierten Immobilien- und Finanzierungslösungen in der Schweiz.
Zu den immer zahlreicheren, zufriedenen Kunden von unserem Partner zählen institutionelle Kunden, Vermögensverwalter, Privatbanken, Vorsorgestiftungen sowie Privatpersonen.
Deine Verantwortung
Du führst des Data Engineering Scrum-Team und verantwortest dessen Weiterentwicklung.





2 - 5 years",,26d,False,1 to 50,Company - Private,,2005,,,,,,,,,,,,,
GITR,3.8,Zürich,Big Data Engineer,"EINFÜHRUNG:
Für unseren Kunden eine unabhängige Zentralbank mit Sitz in Zürich suchen wir eine engagierte Persönlichkeit als
Big Data Engineer
(Festanstellung Voll- oder Teilzeit) mit Startdatum so bald wie möglich.

AUFGABENBESCHREIBUNG:
Weiterentwicklung und Betrieb der Big Data Plattformen der SNB bestehend aus den Cloudera Data Platforms (CDP), den ELK Stack Platforms (Elasticsearch, Kibana, Logstash) und den Kafka Shared Platforms.
Programmierung für die automatisierte Verwaltung der Big Data Plattformen und durchlaufen aller Phasen der Softwareentwicklung.",,30d+,False,,Company - Private,Human Resources & Staffing,,HR Consulting,,,,2.0,1.0,2.0,2.0,2.0,,,,
LHH,3.5,Lausanne,IT Systems and Network Specialist,"For one of our clients in Lausanne we are recruiting an IT Systems & Network Specialist who is open-minded and client-oriented, is passionate about his work, who believes in success and has a strong team spirit. Are you looking for you next challenging position? This opportunity is for you!

Responsibilities :
As an IT Systems & Network Specialist you provide secure, reliable and integrated technology solutions in alignment with a client objectives. You perform IT system engineering task around servers (Windows and Linux), VMware virtualization, storage, backup management, data migration and disaster recovery operations. Moreover, you analyze, troubleshoot and evaluate existitng network systems (LAN, WAN, Routers, Firewalls). You manage components of the infrastructure (network, peripherals, authentification). You manage and monitor information solutions systems (SIEM, EDR, Firewall Monitor, Assiss and mitigate cyber security alerts. You monitor and maintain cyber securty protection tool. You, also manage SaaS aplication and services (036, Azure, AWS, Oracle Cloud). You provide incident support L2/L3. You support and maintain applications (Project Server, ERP, EDM, Analytics, Data Infomation Management). You deliver IT Projects, you create and maintain documentation.



IT Systems and Network Specialist",,30d+,False,1001 to 5000,Subsidiary or Business Segment,Management & Consulting,1967,Business Consulting,$100 to $500 million,0.61,0.71,3.2,3.1,3.3,3.1,3.7,"['""People are liars."" (in 2 reviews)']","['""Company culture has gone from being very supportive, fun, and friendly to a KPI driven hellscape that involves talking down to from senior leadership."" (in 1 reviews)', '""60 hours a week and to tell her we are part time if only 40 hours."" (in 1 reviews)']",3.6,"['401K Plan (19 comments)\n""Good Match for Employees at LHH""', 'Health Insurance (11 comments)\n""Company provides different level health insurance plan options""', 'Vacation & Paid Time Off (8 comments)\n""Very flexible PTO &amp; Vacation Policy""']"
brefis personal ag,4.0,Zürich,TELEMATIKER/IN (Solution Engineer Data/Voice),"Wir sind ein lebhafter Dienstleistungsbetrieb und suchen ab sofort für unseren Auftraggeber im Raum Zürich eine/n erfahrene/n TELEMATIKER/IN (Solution Engineer Data/Voice).
Ihre Aufgaben umfassen:
Die fachgerechte Installation und Betreuung von Anlagen und Netzwerken, damit die Vernetzung via Telefon, Fax, PC und Laptop einwandfrei funktioniert
Die Nutzung Ihres umfassenden Wissens auf den Gebieten Telekommunikation, Informatik, Elektronik und Elektrotechnik ist erforderlich
Kenntnisse der verschiedenen Systeme, Geräte, Anlagen und Übertragungsnetze der Kommunikationstechnologie sowie die Dienste der Netzanbieter sind unabdingbar",,30d+,False,,Company - Private,,,,,,,4.0,4.0,4.0,4.0,3.0,,,,
GITR,3.8,Switzerland,Data Engineer / Analyst (m/f/d),"INTRODUCTION:
As a preferred supplier for Roche Diagnostics Int Ltd in Rozkreuz, we are looking for an individual as
Data Engineer / Analyst (m/f/d)
(contract for 12 months after start, with possible extension). The latest start date is within 3 months. Home Office: partly possible after introduction.

ASSIGNMENT DESCRIPTION:
Develop and implement data collection systems and develop a monitoring system to support the production teams to strategically steer and continuously improve quality improvement initiatives",,8d,False,,Company - Private,Human Resources & Staffing,,HR Consulting,,,,2.0,1.0,2.0,2.0,2.0,,,,
KA Resources,5.0,Bern,(Senior) Big Data Software Entwickler (m/w/d) - Bern,"Für ein führendes schweizer Telekommunikations- und IT-Unternehmen, suche ich Sie als Big Data Software Engineer oder Senior Big Data Software Entwickler (m/w/d) in Bern.
Ihr potenzieller neuer Arbeitgeber bietet Ihnen zahlreiche und interessante Möglichkeiten an. Je nach Erfahrung verdienen Sie bis zu 125.000 CHF, die abhängig von Berufserfahrung verhandelbar sind. Die Firma ist schon seit Jahrzenten erfolgreich und möchte Ihnen eine langfristige und unbefristete Stelle anbieten in der Sie professionell wachsen können und sich wohl fühlen.
(Senior) Big Data Software Entwickler (m/w/d)
Unbefristete Festanstellung
Eintritt nach Vereinbarung",,30d+,True,1 to 50,Company - Private,,,,,1.0,1.0,4.6,5.0,5.0,5.0,5.0,"['""Great incentives for top performers"" (in 1 reviews)', '""Flexible hours"" (in 1 reviews)']","['""Parking is not great around the office"" (in 1 reviews)']",,
Experis,4.2,Bern,System Engineer / System Specialist,"System Engineer/System Specialist
Experis is the global leader in professional resourcing and project-based workforce solutions.
Overview of the position:
For our client, a large institution in Bern, Switzerland, we are looking for System Engineer to join a fun and vibrant team.
This is a contract starting ASAP until December 2024. The successful candidate will be require to be onsite one day per week.
Main Responsibilities",,3d,False,10000+,Subsidiary or Business Segment,Human Resources & Staffing,1948,HR Consulting,$10+ billion,0.86,,4.0,3.8,4.1,4.0,4.1,"['""Good pay"" (in 24 reviews)', '""Good opportunity to start a career"" (in 9 reviews)', '""Communication is the best while working for this assignment"" (in 8 reviews)', '""No benefits, all depend on their clients package gave to them"" (in 4 reviews)', '""onsite management was a pleasure to work with."" (in 7 reviews)']","['""Not great pay."" (in 24 reviews)', '""little communication and follow up from recruiter"" (in 8 reviews)', '""no many benefits offered to employees"" (in 4 reviews)', '""Kyndryl Management just sucks."" (in 7 reviews)']",3.0,"['Job Training (88 comments)\n""For now,they are very professionals.""', 'Health Insurance (58 comments)\n""Very good help insurance and grate benefits""', 'Paid Holidays (29 comments)\n""Amazing so many days love it ""']"
ROCKEN,,Hinwil,Junior System Engineer (m/w/d),"Lohn - 80'000 - 90'000

ROCKEN® ist in der digitalen Rekrutierung von Talenten und Experten in der Informatik spezialisiert und zählt etablierte Unternehmungen zu den Partnern.
Diese Partner bieten spannende Tätigkeiten in vielfältigen Branchen.
Profitiere als Bewerber von unserer breiten Vernetzung und lass dir unverbindlich eine Marktübersicht der spannendsten Herausforderungen bieten.
Wir behandeln Deine Bewerbung respektvoll, um Vertraulichkeit, Privatsphäre und Datenschutz zu wahren.





2 - 5 years",,25d,False,1 to 50,Company - Private,,2005,,,,,,,,,,,,,
ROCKEN,,Zürich,Senior Data Analyst (m/w/d),"Unser Partner stellt qualitativ hochwertige Individualsoftware her. Bei diesem ROCKEN Partner kreierst Du Softwarelösungen abgestimmt auf Kundenbedürfnisse. Die Engineers unseres Partners tragen mit modernen Lösungen zur Digitalisierung von Firmen aus der Logistik-, Transport- und der Handelsbranche bei.
Deine Verantwortung
Unterstützung beim Auf- und Ausbau unserer Data-Plattformen basierend auf MS Azure
Identifikation und Analyse von Kundenanforderungen und Geschäftsprozessen
Identifikation möglicher Optimierungen von Produkten und Geschäftsprozessen
Entwerfung, Umsetzung und Weiterentwicklung automatisierter Datenanalysen und Visualisierungen (Dashboards)





2 - 5 years",,25d,False,1 to 50,Company - Private,,2005,,,,,,,,,,,,,
freelance.de,5.0,Geneva,Für Freelancer: IT Data Engineer (m/f/d),"Freelancer Projekt -

Ihre Aufgaben:
? Work with IT Application owners and Business Analysts to clearly capture and define Data Hub requirements and build the Data Hub on Azure.
? Active participation with Data Architect in the functional and technical target solution.
? Participate in the evolution of the Data Hub and of its data delivery applications.
? Analyze and resolve detected anomalies and document the work performed
? Respect the instructions and standards in place, design, perform and execute unit tests
? Organize and deliver trainings to the Application support team members

Ihre Qualifikationen:
? Data Engineer or Developer background
? Well-founded experience in the Banking Wealth Management sector and/or Financial Services
? SQL, T-SQL, or PL/SQL knowledge
? Azure Synapse, Azure Logic Apps, or Power BI


? Good infrastructure
? Long planned term mission with strong perspectives of extension
? Support during the entire mission

12 MM++

Sie sind Freiberufler? Dann freuen wir uns auf Ihre Bewerbung!
Freelancer",,30d+,False,1 to 50,Company - Private,,,,,1.0,,4.1,5.0,5.0,5.0,5.0,"['""very nice people and supportive bosses"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Experis,4.2,Les Genevez,Senior Java Developer,"Senior Java Software Engineer
Geneva / Permannt / Asap
Experis is the global leader in professional resourcing and project-based workforce solutions.
We are looking for a Senior Java Developer for our customer based in Geneva (Headquarter), to contribute to their Finance IT applications development pipeline.
The ideal candidate for this role should have a strong understanding of Java, as well as experience with Java frameworks such as Spring, Hibernate, and JavaEE. Knowledge of databases, such as MySQL or Oracle, and experience with Agile software development methodologies is also beneficial. Strong problem-solving skills, effective communication skills, and a team-oriented attitude are important traits for success in this role.",,30d+,False,10000+,Subsidiary or Business Segment,Human Resources & Staffing,1948,HR Consulting,$10+ billion,0.86,,4.0,3.8,4.1,4.0,4.1,"['""The pay was good for now"" (in 37 reviews)', '""Good management"" (in 8 reviews)', '""work life balance and good culture"" (in 13 reviews)', '""Staff is friendly, and very helpful."" (in 10 reviews)', '""Efficiency, communication, reliable and positive attitude."" (in 6 reviews)']","['""Less pay according to the work"" (in 37 reviews)', '""Very good company and management"" (in 8 reviews)']",3.0,"['Job Training (88 comments)\n""For now,they are very professionals.""', 'Health Insurance (58 comments)\n""Very good help insurance and grate benefits""', 'Paid Holidays (29 comments)\n""Amazing so many days love it ""']"
ROCKEN,5.0,Dübendorf,Cloud Data Infrastructure Engineer (m/w/d),"Deine Rolle
Unser ROCKEN Partner hat seinen Hauptsitz in Berlin und verfügt über 17 Niederlassungen auf der ganzen Welt, die von einem globalen Team aus über 700 Experten und Technologen unterstützt werden. Sei auch du ein Teil von einer grossen Mission!
Als Ingenieur im Dateninfrastrukturteam ist es deine Aufgabe, dafür zu sorgen, dass wir eine hervorragende Plattform für die Verwaltung von Daten in unseren Produktionssystemen haben. Du wirst mit Systemen arbeiten, die die gesamte technische Organisation betreffen. Das Team stellt sicher, dass wir effektive Möglichkeiten haben, Daten von einem Dienst zu einem anderen zu verschieben, Daten kurz- und langfristig zu speichern und Daten in geeignete Formate für die spätere Nutzung durch unsere Datenteams umzuwandeln.





2 - 5 years",,7d,False,1 to 50,Company - Private,,2020,,,,,,,,,,,,,
