Company_name,Rating,Location,Job_title,Description,Job_age,Easy_apply,Salary,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Lionstep,4.7,Argovia,Data- & Integration Engineer (w/m/d),"Für unseren Kunden Cotra Autotransport AG suchen wir per sofort: Data- & Integration Engineer (w/m/d).
Job-Zusammenfassung

Du pflegst eine analytische und konzeptionelle Arbeitsmethodik? Du bist eine engagierte Persönlichkeit und möchtest Dich einer neuen beruflichen Herausforderung stellen? Dann aufgepasst!
Cotra Autotransport AG ist ein Transport- und Logistikunternehmen der führenden Automarken in der Schweiz. Mit ihren Dienstleistungen machen sie Mobilität in der Schweiz möglich. Mit 250 Mitarbeitenden und 100 Fahrzeugen sind sie täglich gerne für ihre Kunden im Einsatz. Als Recruiting-Partner der Cotra Autotransport AG suchen wir Dich als zur Verstärkung des Teams in Lupfig. Gemeinsam mit dem Team holst Du relevante Daten rein und bereitest diese auf. Des Weiteren übernimmst Du die Verantwortung der Speicherung, Verwaltung und Sicherung der Daten. Freue Dich auf ein breites Tätigkeitsfeld mit individuellen Entwicklungsmöglichkeiten und einem tollen Arbeitsklima.",30d+,False,,201 to 500,Company - Public,Human Resources & Staffing,2016,HR Consulting,,0.91,,4.6,4.5,4.6,4.3,4.1,"['""great team"" (in 6 reviews)', '""I got the chance to grow and develop my skills from the beginning on and got a lot of responsibilities very fast."" (in 2 reviews)', '""Flexible Arbeitszeiten"" (in 3 reviews)', '""good salaries"" (in 1 reviews)']","['""But it\'s definitely challenging also in a good way, and you can learn a lot."" (in 2 reviews)', '""Managers are too young and inexperienced in leading teams, micromanaging."" (in 1 reviews)']",,
Julius Baer,4.1,Zürich,Head Software Solutions Competence Center (100%),"At Julius Baer, we celebrate and value the individual qualities you bring, enabling you to be impactful, to be entrepreneurial, to be empowered, and to create value beyond wealth. Let’s shape the future of wealth management together.
Julius Baer Division Markets is looking for a new Head of the Software Solutions Competence Center. Markets Technology aims to strategically develop, strengthen, and align the software engineering expertise within the Markets division.

Do you want to shape the future? We are looking for an experienced, inspired role model to lead our global Software Development community. As a member of the Markets Technology Management Committee, you will report to the Head Markets Technology with the mission to build and shape the community into a strong and recognized competence center of software development experts within the division.

This senior leadership role enables you to communicate and interact with business owners and IT stakeholders, as well as to define, shape and execute the software development strategy.
The role calls for a foundation of strong software development skills and experience, supported by deep software delivery expertise with agile and DevOps delivery models, allowing you to not only develop your own organization but also influence and drive the required cultural change and optimize the usage of technology for an effective and efficient software delivery.",19d,False,,5001 to 10000,Company - Public,Financial Services,1890,Banking & Lending,$1 to $5 billion,0.84,0.94,3.9,3.9,4.2,3.8,4.0,"['""many learning opportunities, both internal and external"" (in 2 reviews)', '""Very attractive compensation and benefits package"" (in 1 reviews)', '""Nice people , Smart managers , Fair approach , overall really nice"" (in 1 reviews)', '""Very flexible management style, trust is high amongst the teams."" (in 1 reviews)']","['""Extra pay needed to work"" (in 1 reviews)']",3.3,
Roche,4.3,Zug,Development Reliability Engineer (contract),"The position
Please note that this vacancy is not currently linked to an open position. We are anticipating future needs in our organization. If you are interested in this kind of role, please apply today and we may contact you should a position matching your profile become available.

In a global, cross-functional environment the System Development (SD) department is responsible for workflow optimization and the successful integration of hardware, software, consumables and reagents to finally performthe system verification of diagnostics instruments.
As a Development Reliability Engineer you will work as a part of a cross-functional team on the development and product care of new complex diagnostics systems, consisting of fluidics, robotics software, thermal, electrical, mechanical and biochemistry elements. You will perform hands-on testing, including evaluations of system error handling, reliability improvements and system performance.",30d+,False,,5001 to 10000,Company - Public,Pharmaceutical & Biotechnology,1896,Biotech & Pharmaceuticals,$10+ billion,0.89,0.96,3.9,4.1,4.3,3.7,4.1,"['""Good work life balance &amp; work culture"" (in 41 reviews)', '""Good benefits and lots of smart/talented employees"" (in 37 reviews)', '""People are great."" (in 44 reviews)', '""The culture is great."" (in 48 reviews)', '""Good salary, cantine almost for free, flexitime, homeworking, and so on."" (in 39 reviews)']","['""no work life balance and no stable"" (in 41 reviews)', '""It no longer feels like people first."" (in 44 reviews)', '""Middle management is not held accountable to the ""culture"" represented."" (in 48 reviews)', '""less salary."" (in 39 reviews)']",4.5,"['Health Insurance (92 comments)\n""Insurance can be extended to close family members- it is discounted, but employee needs to pay for it""', '401K Plan (52 comments)\n""they had a good company match""', 'Vacation & Paid Time Off (48 comments)\n""Plenty of time to recharge""']"
Roche,4.3,Basel,Cold Chain Packaging Engineer - temporary for 12 months,"The Position
Cold Chain Packaging Engineer - temporary for 12 months
Do you want to support the establishment of a world-class distribution technologies group? In this role you will be providing technical expertise in the development, qualification, implementation and maintenance of global monitoring solutions and thermal shipping systems. In this position, the engineer executes small and medium-sized projects or cold chain related sub-project within bigger project, for clinical and commercial supply chain (from cell banking shipment to Finished Products). You will define goals, develop project execution plans, calculate the business case, ask for endorsement and execute the assigned project.
As Cold Chain Packaging Engineer you work under general supervision with instructions on new assignments. The work is regularly reviewed on soundness of judgement, overall adequacy and accuracy, work priorities and timelines are established with supervision. A key success factor of our function is effective collaboration with supply chain logistics, distribution commercial and clinical quality, clinical supply chain, distribution hubs, internal manufacturing sites, CMOs as well as regulatory affairs.",26d,False,,5001 to 10000,Company - Public,Pharmaceutical & Biotechnology,1896,Biotech & Pharmaceuticals,$10+ billion,0.89,0.96,3.9,4.1,4.3,3.7,4.1,"['""Good benefits, well organized company"" (in 37 reviews)', '""Good pay Team building activities Big cafeteria"" (in 26 reviews)', '""Good environment, people, ethics and culture"" (in 20 reviews)', '""Roche has a great work life balance and really supports you as an individual as well as your projects"" (in 19 reviews)', '""Management is amazing to work for."" (in 9 reviews)']","['""No benefits"" (in 37 reviews)', '""Less than competitive pay, Work life balance, understaffed compared to production expectations, recalcitrant about converting contract employees to full time"" (in 26 reviews)', '""Toxic culture"" (in 20 reviews)', '""Work life balance is hard to manage due to workload"" (in 19 reviews)', '""Poor management and overworked/underworked at times."" (in 9 reviews)']",4.5,"['Health Insurance (92 comments)\n""Insurance can be extended to close family members- it is discounted, but employee needs to pay for it""', '401K Plan (52 comments)\n""they had a good company match""', 'Vacation & Paid Time Off (48 comments)\n""Plenty of time to recharge""']"
BakerHicks,4.5,Basel,Data Management Engineer (m/f),"As a subsidiary of the Morgan Sindall Group, BakerHicks is part of a globally successful company with around 6,000 employees. We concentrate on the planning and implementation of biotechnological, pharmaceutical and chemical projects in the areas of production, research and development. With our integrated range of services and strong customer focus, BakerHicks has achieved a leading market position in the DACH region and beyond.
Data Management Engineer (m/f)
SWITZERLAND – LAUSANNE
Basel
Permanent",14d,False,,501 to 1000,Company - Public,,,,,0.88,,4.0,4.1,4.6,3.9,4.5,"['""Nice and helpful colleagues and management"" (in 2 reviews)', '""Supportive colleagues, good working culture"" (in 2 reviews)', '""Good people and experience opportunities"" (in 1 reviews)', '""Excellent teamwork dynamic and Inclusion"" (in 1 reviews)', '""Flexible working Good Working condition Good pay"" (in 1 reviews)']","['""Deadline pressures and management of timesheets"" (in 2 reviews)']",,
Coopers Group AG,5.0,Zug,Senior Quality Engineer (m/f/d),"Senior Quality Engineer

We are seeking a highly motivated Senior Quality Engineer with experience in the medical device industry. The successful candidate will be responsible for ensuring compliance with regulatory requirements, standards, and guidelines, as well as providing guidance and leadership to the quality team.

Responsibilities:
Develop and maintain quality system procedures to ensure compliance with regulations and standards (e.g. ISO 13485, FDA QSR)
Lead and participate in internal and external audits, ensuring that findings are appropriately addressed and documented


Sounds like a great job?
Then we look forward to receiving your complete application documents through our online application form.",16d,False,,51 to 200,Company - Private,,,,,1.0,1.0,4.4,3.7,5.0,4.4,4.4,"['""outstanding team spirit"" (in 1 reviews)', '""flexible working hours"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Global Personal Partner,3.8,Switzerland,Engineer/Scientist in electrochemical method development,"EINFÜHRUNG:
As a preferred supplier for Roche Diagnostics Int Ltd in Rotkreuz, we are looking for an individual as
Engineer/Scientist in electrochemical method development
(contract for 12 months, with possible extension). The earliest start date is as soon as possible. Remote/Home Office: possible at times.

AUFGABENBESCHREIBUNG:
Statistical evaluation of analytical performance data, thereby substantiating updated or new product claims
Troubleshooting support for verification studies",30d+,False,,,Company - Private,Human Resources & Staffing,,HR Consulting,,,,2.0,1.0,2.0,2.0,2.0,,,,
Turck Vilant Systems Oy,,Gossau,System Engineer (RFID),"What to expect from this role?
We make sense of our customers' tracking data – you ensure our tailor-made IIOT-based systems are implemented to perfection so that they can collect the needed data.

At the heart of our track and trace platform are different IIOT devices and applications, which monitor our customers' assets and send these data further to our server product and customer's business application for analysis.

You will join our Central-European operations team in Switzerland, where we support some of our most long-term key customers and implement our systems to brand new industrial customers. Our office is in Gossau, but you can expect to travel roughly 50% of your time.

As our System Engineer you will be vital in implementing our track & trace solutions. You will mainly specify, test, commission, and support our customer systems.",8d,True,,,,,,,,,,,,,,,,,,
Line Up Aviation,3.3,Zürich,Electrical System Engineer,"My client is currently developing a new-generation single-turbine helicopter, delivering high performance and offering the largest cabin in its class.
It is looking for:
Role: Electrical System Engineer
Pay: To be defined on the basis of experience
Location: Zurich - Switzerland
Contract: Permanent Full Time
Main Responsibilities",23d,True,,1 to 50,Company - Private,Human Resources & Staffing,,HR Consulting,,0.51,0.29,3.0,3.0,2.7,2.7,3.0,['No Pros have been reported by the Glassdoor community.'],"['""Awful commission scheme"" (in 2 reviews)', '""No real benefits"" (in 1 reviews)', '""No recognition"" (in 1 reviews)']",,
Michael Page,4.4,Biel,Manufacturing Engineer - Medical Device,"In this position, you assist in the implementation and development of the manufacturing processes at their new production site.

Your mission
Assist in the development and implementation of various lens manufacturing processes and manufacturing systems to contribute to the production launch of the products in Switzerland
Drive project execution and team member accountability by applying project management skills in international and multi-disciplinary teams
Apply and/or mentor colleagues to statistical and analytical methods such as SPC, R&R Gage and DOE",24h,False,,201 to 500,Company - Private,Management & Consulting,,Security & Protective,,0.63,0.93,3.7,3.7,3.5,3.3,3.4,"['""Colleagues were friendly and good bonus"" (in 3 reviews)', '""Great learning experience, could be considered a perfect entry"" (in 5 reviews)', '""Excellent training, great people, fun team socials, clear career progression, nice office"" (in 4 reviews)', '""Nice working culture love everyone"" (in 1 reviews)']","['""Bonuses aren\'t as competitive, some politics, can get a bit monotonous, high staff turnover"" (in 3 reviews)', '""level managers are quite toxic, meaning large turnover of staff."" (in 2 reviews)']",,
