Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Electronic Arts,4.1,Madrid,Data Engineer Intern,"We are EA
EA inspires the world to play, and the Worldwide Localization Team makes that happen! We are accountable for delivering the high-quality localized versions of our titles to over 30 countries around the world. You will find a vibrant, multicultural environment with a great mixture of professionals. From software engineers, project managers, testers to audio, text and linguistic specialists, each employee has an important role to play. EA has built a cutting-edge Localization powerhouse that covers the needs for both current and next-generation platform.
We are hiring a Data Engineering Intern for our Localization Data & AI team. Loc Data & AI ́s mission is to support and foster the use of data from all perspectives, along with the development of policies and procedures for the monitoring and active management of data in EA Localization. And our means include building data engineering products and solutions, such as integrating data from various sources such as APIs, databases, and file systems.
This includes an understanding of data extraction, transformation, and loading (ETL) techniques.







We are a global team of creators, storytellers, technologists, experience originators, innovators and so much more. We believe amazing games and experiences start with teams as diverse as the players and communities we serve. At Electronic Arts, the only limit is your imagination.",,2d,False,10000+,Company - Public,Media & Communication,1982,Video Game Publishing,$5 to $10 billion,0.85,0.85,3.8,3.8,4.1,3.6,4.0,"['""The people you work with 60% are nice and the only pro there is at EA"" (in 173 reviews)', '""Good Salary, excellent Work"" (in 165 reviews)', '""They do give you really good benefits and the work isn\'t boring."" (in 77 reviews)', '""Work life balance is good"" (in 76 reviews)', '""Good management"" (in 78 reviews)']","['""Upper management does not seem to really care about the people working there."" (in 173 reviews)', '""Low salary and no part time option"" (in 165 reviews)', '""Barely any benefits at all"" (in 77 reviews)', '""work/life balance is bad"" (in 76 reviews)', '""bad management"" (in 78 reviews)']",4.4,"['Health Insurance (52 comments)\n""Several options for health insurance""', 'Employee Discount (44 comments)\n""Lots of great partner discounts but also free games every year.""', '401K Plan (35 comments)\n""Pretty standard matching system to most companies.""']"
Siemens,4.1,Madrid,GDC Process Mining Data Engineer (f/m/d),"Do you want to help create the future of healthcare? Siemens Healthineers is a place for people who dedicate their energy and passion to this greater cause. It reflects their pioneering spirit combined with our long history of engineering in the ever-evolving healthcare industry.
We offer you a flexible and dynamic environment where you have the space to stretch beyond your comfort zone in order to grow personally and professionally. Sound interesting?
Then come in and join our team as Process mining data engineer¡ (Modelo híbrido teletrabajo - Posibilidad 80% remoto)
As a process mining data engineer, you are part of the center of excellence for business intelligence front-end tools at Siemens Healthineers IT. The CoE’s prime goal is to support the organization globally in all areas of Power BI, Qlik Sense, Celonis, Valsight and other tools by providing training, guidance, consulting, development, and application management to drive self-service analytics and digitalization.",,24h,False,10000+,Company - Public,Manufacturing,1847,Electronics Manufacturing,$10+ billion,0.83,0.9,3.8,3.7,4.1,3.7,4.1,"['""Good work life balance and"" (in 659 reviews)', '""good salary and overtime if needed"" (in 571 reviews)', '""Company has good management and they are friendly."" (in 265 reviews)', '""Good work culture and Cafeteria."" (in 363 reviews)', '""Benefits are good and ok"" (in 219 reviews)']","['""No work life balance for contract employee"" (in 659 reviews)', '""Low salary and when having discussions about negotiations"" (in 571 reviews)', '""Management is poor"" (in 265 reviews)', '""Bad management , Bad work culture"" (in 363 reviews)', '""Health benefits could be better."" (in 219 reviews)']",3.9,"['Health Insurance (190 comments)\n""Overall the benefit looks great.""', 'Vacation & Paid Time Off (158 comments)\n""Following the Egyptian labor law""', '401K Plan (104 comments)\n""They match the benefit so good""']"
Raona,3.5,Spain,Data Engineer,"¿Te gusta la transformación digital? ¿Te gusta trabajar acompañado, pero con autonomía, por objetivos y aportar ideas innovadoras? ¿Quieres certificarte en las diferentes tecnologías Microsoft?

Si además quieres participar en el crecimiento de Raona, ¡queremos conocerte!

¿Nos conoces?

En Raona, desarrollamos soluciones IT en transformación digital y automatización de procesos en entornos Microsoft.",,15d,False,201 to 500,Company - Private,Information Technology,2003,Information Technology Support Services,,0.7,,3.3,2.9,3.2,2.8,3.7,"['""You create real bonds with your team mates, the environment is very good and the amount of experience you get is priceless"" (in 1 reviews)']","['""Productividad y bonus no dependen de uno"" (in 3 reviews)']",,
BNP Paribas,3.8,Spain,"VIE Data Engineer, Cardif - Madrid, H/F","VIE Data Engineer, Cardif – Madrid, H/F
CONCRÈTEMENT VOTRE QUOTIDIEN ?
En collaboration constante avec les autres membres de la Direction Data & Analytics, vous participerez au quotidien de l´équipe Data Governance tout en menant à bien vos projets qui permettront de créer le socle de données de bonne qualité et aptes à être utilisées par nos clients internes et externes. Chacun de vos trois domaines d´activités vous permettra de travailler avec toutes les équipes de Cardif :
Data Quality Management
Conduite d´audits de processus métier sur l´axe « Data » et de la qualité des données reçues de nos Partenaires de distribution",,30d+,False,10000+,Company - Public,Financial Services,2000,Banking & Lending,$10+ billion,0.76,0.86,3.5,3.4,3.7,3.4,3.8,"['""Cantine disponible et grande flexibilité du manager"" (in 9 reviews)', '""Montée en compétence, expérience professionnelle, culture d\'entreprise"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],4.3,"['401K Plan (44 comments)\n""4% match and vested after 3 years""', 'Maternity & Paternity Leave (40 comments)\n""Just got extended and it\'s really top of the market standard for new parents""', 'Health Insurance (36 comments)\n""The best thing is the HR support""']"
Cognizant,3.8,Madrid,Data Engineer Junior,"Technical Lead
Qualification:
Bachelors in science , engineering or equivalent
Responsibility:
Requirement Understanding and Analysis:
Understand the functional/ nonfunctional requirements.
Participate in client calls and prepare the clarification list to seek clarifications.
Prepare the list of requirements and seek review inputs from the key stakeholders.
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant.",,13d,False,10000+,Company - Public,Information Technology,1994,Information Technology Support Services,$10+ billion,0.76,0.78,3.7,3.4,3.7,3.4,3.6,"['""They believe in providing sufficient amount of Knowledge transitions and have a good work/life balance."" (in 2602 reviews)', '""Good salary and working calture"" (in 3135 reviews)', '""Still there a good work culture but it is not as good as it was in 2010s."" (in 2155 reviews)', '""If you end up in a good project its good for you Hikes are ok Management is good"" (in 1522 reviews)', '""Good work environment and ethics"" (in 3274 reviews)']","['""No work life balance on project demand you have to put extra hours and don\'t receive any extra pay for that"" (in 2602 reviews)', '""Less salary and politics overall"" (in 3135 reviews)', '""bad work culture in critical project"" (in 2155 reviews)', '""The management is poor as it\'s a big company and has to manage a lot of things"" (in 1522 reviews)', '""Poor work environment"" (in 3274 reviews)']",3.6,"['Health Insurance (755 comments)\n""you have more choices to make""', '401K Plan (338 comments)\n""four per match you will get""', 'Vacation & Paid Time Off (284 comments)\n""you will get more days off based in desgination""']"
Digital Talent Agency,5.0,Trabajo en remoto,"Data Engineer / 100% Remoto, 100% En remoto","Data Engineer / 100% Remoto en 100% En remoto.
¿Te gustaría continuar con tu carrera profesional como Data Engineer en una posición estable y 100 remota?

Nos encontramos en búsqueda de varios perfiles de Data Engineer para algunos de nuestros mayores clientes los cuales buscan ampliar sus equipos con profesionales del mundo data.

¿Qué buscamos para esta posición?

Al menos 1 año de experiencia
Spark
Scala
¿Qué requisitos son valorables?

¿Qué podemos ofrecerte?

¿Te gustaría formar parte de nuestro equipo? ¡Inscríbete ahora!

Data, Python, Spark, Scala, Pyspark, Unix, BBDD, YAML, AWS",,2d,False,,Company - Public,,,,,1.0,,3.0,3.0,4.0,5.0,5.0,"['""Excellent commission.No issues regarding being paid."" (in 1 reviews)', '""Management always open to provide advice and guidance."" (in 1 reviews)', '""Remote working and flexible hours, Not micro managed, selection of good assignments to work."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
ShopFully,3.5,Barcelona,JUNIOR DATA ENGINEER,"ShopFully is the tech company reinventing local shopping worldwide.

Thanks to our marketplaces we enable 45+ million users globally to save money and time when shopping at their favourite local stores. Our AI-driven platform helps 400+ retailers and top brands reach their ideal audiences and finally drive them to their stores, boosting local sales. This is why today we are one of the leading international players in Drive to Store.

We’re a team of over 370, spanning 30 different nationalities across 12 countries. Are you ready to join us?

IN THIS ROLE, YOU WILL

You will be responsible for designing and implementing scalable ETL processes towards the enterprise data warehouse and data lake
You will take care of everything related to the use of data to support the sale and improvement of our products (e.g. search for products loopholes), from the data ingestion phase to the visualization phase
your relational skills will be an advantage in the analysis and definition of data processes that meet business requirements
Our data platform is completely in the AWS cloud, it is modern and inspired by the big technological players and allows us to manage both batch and real-time applications.

SKILLS WE’RE SEARCHING FOR

You have a good knowledge of the SQL language and Python
You have knowledge of the basics of Big Data application development
You have knowledge of the cloud world and in particular AWS
You are able to work in a team and coordinate with multiple internal stakeholders

OTHER ABILITIES THAT WILL WIN OUR HEART

You have knowledge of the basics of the dimensional fact model and data warehousing
You have knowledge of at least one ETL tool (Pentaho Data Integration, Talend, etc.)
PySpark
It should be a plus also if you have knowledge of Tableau and R

THIS IS WHAT YOU’LL FIND IF YOU START THE ADVENTURE WITH US

Zero degrees of separation.
We are very informal, love direct feedback and work by project, so you’ll get a chance to meet everyone. Our CEO, CTO and C-anything will be your colleagues in some activities and you’ll get to work with all of us!

Massive impact.
You’ll work on tech & products that will be used by hundreds of retailers and brands and millions of people (from your friends, to your neighbours, and maybe even your mother!).

Problems that you’ll love to solve.
Here, you’ll discover that every challenge is an opportunity to thrive and make an impact.

The best team you’ve ever met.
We’re young and talented, without being divas, and we are supportive of each other. We share knowledge and are each other’s number one fans.

Learning and growing.
What do you think about 70 hours Learning Time a year and the possibility of getting tech certifications like AWS? But most importantly, at ShopFully you’ll be learning by doing and making mistakes, which will allow you to improve day after day.

Smart working, but even smarter.
each team can choose the ShopFully Hub that suits them better. Rome, Sidney or Barcelona? You’ll be spoilt for choice!

Fun, fun, fun!
It can be a happy hour, a volleyball match, a tandem ride, a Halloween party. You name it!

Lunches on us.
We give meal vouchers, also while working remotely. It’s a little thing, but we want to take care of it.",,6d,False,51 to 200,Company - Private,Information Technology,2011,Internet & Web Services,,0.74,0.9,2.7,3.1,3.6,3.0,4.1,"['""+ Good career opportunities"" (in 1 reviews)', '""smart colleagues with a considerable knowledge"" (in 1 reviews)', '""+ Healthy environment"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
ALTEN,3.4,Madrid,Data Engineer Junior,"Tareas
En ALTEN tenemos claro que el éxito de nuestros proyectos se debe a las personas que forman nuestro equipo. Por eso, si quieres desarrollar tu carrera como Data Engineer, nos comprometemos a impulsar tu talento, satisfacer tus expectativas laborales y hacerte sentir como en casa. ¿Te unes a nuestro #WelcomeHome? ¡Sigue leyendo!
¿En qué consistirá tu misión?
Aprender a diseñar, desarrollar y mantener los sistemas que procesan grandes volúmenes de datos dentro de una empresa Data Driven.
¿Qué podemos ofrecerte?",,30d+,False,10000+,Company - Private,Management & Consulting,1988,Research & Development,$1 to $5 billion,0.67,0.75,3.4,2.8,3.2,3.2,3.6,"['""Good Salary and healty service"" (in 439 reviews)', '""Middle management and Technical management are good to work with."" (in 513 reviews)', '""All good and work life balance"" (in 164 reviews)', '""Good benefits such as lunch and transportation"" (in 97 reviews)', '""some nice people that can turn to be your friends"" (in 165 reviews)']","['""low salary and not so interesesting"" (in 439 reviews)', '""Bad management"" (in 513 reviews)', '""No work life balance."" (in 164 reviews)', '""no additional benefits and perks"" (in 97 reviews)', '""Growth is slow for experienced people"" (in 165 reviews)']",3.8,"['401K Plan (5 comments)\n""Low company contribution. Website is not great""', 'Sick Days (5 comments)\n""There are no sick days""', 'Paid Holidays (5 comments)\n""Limited holidays, PTO must be used""']"
OXIGENT Technologies,4.1,Spain,"Data Engineer/Power BI Developer, Barcelona","Data Engineer/Power BI Developer en Barcelona.
¿Te interesa desarrollarte como Data Engineer/Power BI Developer dentro de un entorno profesional dinámico y altamente cualificado en el cual podrás trabajar con altos volúmenes de datos?

Desde Oxigent Technologies consultora tecnológica seleccionamos Data Engineers y/o Power BI Developers para participar en diferentes proyectos dentro del ámbito BigData y ubicados en Barcelona

Te incorporarías a diferentes equipos del área de Business Solutions Data Infraestructuras entre otras... y tus principales funciones serán
Construcción de las apps y los objetos en Microsoft Power BI
Desarrollo mantenimiento y planificación de las actualizaciones de los Dashboards del proyecto a nivel internacional
Para ello ¿Qué necesitamos?
Y llegados a este punto... ¿Qué te ofrecemos?
data, bi, sql, python, powerbi, scala, spark, snowflake, git, databricks",,1 day ago,False,1 to 50,Company - Private,,,,,0.78,,4.6,4.4,3.9,3.9,3.7,,,,
IOMED,4.6,Spain,Data Engineer Internship,"Barcelona - Data Engineer - Full time
1.300€/mes
Última actualización: December 2, 2021
Sobre la posición
IOMED es una empresa especializada en la extracción y el procesamiento de datos médicos a través de herramientas de Inteligencia Artificial como Machine Learning y Procesamiento de Lenguaje Natural. Estructuramos la información clínica con el objetivo de acelerar la investigación clínica.
Tu función principal será trabajar en el análisis de datos de la industria médica aplicando mejoras en nuestros procesos, con el objetivo de asegurar la calidad del dato. Formarás parte de un equipo multidisciplinar con el que colaborarás diariamente en proyectos en el cual podrás aprender e impulsar nuevas ideas.",,30d+,False,1 to 50,Company - Private,,,,,1.0,,4.6,4.1,4.1,2.0,4.1,,,,
